	0
drawing	1
drawling	3
dreadful	11
dreadfully	33
dream	16
dreamed	1
dreaming	1
dreamy	1
dressed	1
drew	122
dried	1
driest	1
drink	25
drinking	1
dripping	1
drive	11
drop	1
dropped	113
dropping	1
drowned	1
drunk	2
dry	17
duchess	142224
duck	13
dull	111
dunce	1
e	227
each	1233
eager	12
eagerly	134
eaglet	3
ear	24
earls	2
earnestly	11
ears	122
earth	112
easily	112
easy	111
eat	126
eaten	1
eating	1
eats	1
ebook	45
ebooks	7
edgar	1
edge	12
edition	11
editions	24
educational	1
educations	1
edwin	2
eel	11
eels	1
effect	12
effort	2
efforts	3
egg	1
eggs	5
eh	1
ein	1
either	1118
elbow	12
elbows	1
elect	1
electronic	27
electronically	2
elegant	1
eleventh	1
else	2244
elsie	1
em	12
email	3
emphasis	1
employee	1
employees	2
empty	1
encoding	1
encourage	1
encouraged	1
encouraging	2
end	3368
ending	11
energetic	1
engaged	1
engine	1
england	1
english	16
engraved	1
enjoy	1
enormous	1
enough	1458
ensuring	1
entangled	2
entirely	11
entity	3
entrance	1
equipment	3
errors	1
escape	22
especially	1
esq	1
est	1
even	4557
evening	23
ever	11235
every	246
everybody	1124
everything	2255
evidence	7
evidently	1
exact	1
exactly	1124
examine	2
examining	1
excellent	11
except	1114
exclaimed	123
exclamation	1
exclusion	1
execute	1
executed	123
executes	1
execution	12
executioner	6
executions	2
executive	1
exempt	2
existence	1
exists	1
expected	1
expecting	12
expend	1
expense	1
expenses	2
experiment	2
explain	2233
explained	1
explanation	13
explanations	1
exporting	1
express	1
expressing	1
expression	1
extent	1
extra	1
extraordinary	2
extras	1
extremely	11
eye	1123
eyed	1
eyelids	1
eyes	5789
f	11
face	2445
faces	14
facility	1
fact	2222
fading	1
failure	1
faint	1
fainting	1
faintly	1
fair	1
fairbanks	1
fairly	1
fairy	1
fall	25
fallen	4
falling	2
familiarly	1
family	1
fan	10
fancied	2
fancy	124
fancying	1
fanned	1
fanning	1
far	1336
farm	1
farmer	1
farther	1
fashion	2
fast	112
faster	111
fat	1
father	15
favoured	1
favourite	1
fear	112
feared	1
feather	1
feathers	1
federal	2
fee	8
feeble	11
feebly	1
feel	1223
feeling	1123
feelings	11
fees	4
feet	11422
fell	15
fellow	22
fellows	1
felt	11237
fender	1
ferrets	2
fetch	25
few	244
fidgeted	1
field	1
fifteen	1
fifteenth	1
fifth	1
fig	1
fight	2
fighting	1
figure	3
figures	1
file	2
files	2
filled	12
fills	1
financial	1
find	11235
finding	12
finds	1
fine	2
finger	23
finish	1112
finished	2334
finishing	1
fire	13
fireplace	1
first	1314159
fish	44
fishes	1
fit	3
fitness	1
fits	1
fitted	1
five	17
fix	11
fixed	1
flame	1
flamingo	5
flamingoes	2
flapper	1
flappers	1
flashed	1
flat	2
flavour	1
flew	1
flinging	1
flock	1
floor	12
flower	2
flowers	11
flown	1
flung	1
flurry	1
flustered	1
fluttered	1
fly	12
flying	1
folded	12
folding	1
follow	111
followed	1223
following	3
follows	12
fond	22
foolish	1
foot	1234
footman	14
footmen	1
footsteps	11
for	30424265
forehead	11
forepaws	1
forget	11
forgetting	111
forgot	2
forgotten	222
fork	1
form	14
format	4
formats	2
forth	8
fortunately	1
forty	1
forwards	1
found	18557
foundation	25
fountains	11
four	35
fourteenth	1
fourth	1
frame	1
frames	1
france	1
free	26
freely	4
french	22
friend	3
friends	11
fright	11
frighten	1
frightened	1123
frog	12
from	1012227
front	11
frontispiece	1
frowning	112
frying	1
ful	1
fulcrum	1
full	11422
fumbled	1
fun	12
fundraising	1
funny	12
fur	12
furious	1
furiously	1
furrow	1
furrows	1
further	1111
fury	12
future	3
gained	1
gallons	1
game	112
games	1
garden	178
gardeners	8
gather	1
gave	2337
gay	1
gazing	1
gbnewby	1
general	24
generally	34
generations	2
gently	111
geography	1
get	152245
getting	3469
giddy	11
girl	22
girls	12
give	2347
given	11
giving	11
glad	1226
glanced	1
glaring	1
glass	19
globe	1
gloomily	1
gloves	11
go	1115195
goals	1
goes	133
going	10125
golden	16
goldfish	2
gone	1156
good	111123
goose	11
got	1114146
govern	1
graceful	1
grammar	1
grand	111
grant	1
granted	1
grass	22
gratefully	1
grave	111
gravely	111
gravy	1
grazed	1
great	101388
green	13
gregory	1
grew	1
grey	1
grief	1
grin	114
grinned	3
grinning	1
grins	1
gross	1
ground	17
group	1
grow	337
growing	1226
growl	12
growled	1
growling	1
growls	1
grown	124
grumbled	1
grunt	1
grunted	4
gryphon	487
guard	1
guess	12
guessed	111
guests	12
guilt	1
guinea	15
gutenberg	489
had	34374463
hadn	125
hair	1123
half	11345
hall	18
hand	2478
handed	111
hands	2334
handsome	1
handwriting	1
hanging	12
happen	35
happened	16
happening	1
happens	23
happy	1
hard	125
hardly	1245
hare	256
harm	1
harmless	1
hart	2
has	1233
hasn	2
haste	1
hastily	3355
hat	1
hatching	1
hate	2
hated	1
hatter	22133
hatters	1
have	15162529
haven	125
having	1135
he	13333943
head	1213169
heads	1144
heap	1
hear	2346
heard	131322
hearing	13
heart	11
hearth	1
hearthrug	1
hearts	134
heavy	11
hedge	2
hedgehog	7
hedgehogs	3
hedges	1
heels	1
height	14
held	22
help	2334
helped	1
helpless	1
her	45476789
herald	1
here	112659
hers	13
herself	10132238
hid	1
hide	1
high	1348
highest	1
him	121669
himself	1122
hint	2
hippopotamus	1
his	2627349
hiss	1
histories	1
history	133
hit	11
hjckrrh	1
hm	1
hoarse	12
hoarsely	1
hold	1226
holder	4
holding	12
hole	5
holiday	1
hollow	1
home	14
honest	1
honour	4
hookah	5
hope	13
hoped	1
hopeful	1
hopeless	1
hoping	12
horse	1
hot	124
hour	11
hours	22
house	108
housemaid	1
houses	1
how	12131631
however	2559
howled	1
howling	3
http	8
humble	1
humbly	11
hundred	1
hundreds	1
hung	1
hungry	111
hunting	12
hurried	1244
hurriedly	11
hurry	1235
hurrying	1
hurt	12
hush	3
hypertext	1
i	10018320458
idea	2346
identification	1
identify	1
idiot	1
idiotic	1
if	24243137
ignorant	1
ii	1
iii	1
ill	2
imagine	11
imitated	1
immediate	12
immediately	12
immense	1
impatient	1
impatiently	113
impertinent	1
implied	2
important	116
imposed	1
impossible	12
improve	1
in	1201248998
inaccurate	1
incessantly	1
inches	33
incidental	1
inclined	1
include	1
included	12
includes	1
including	8
incomplete	1
increasing	1
indeed	358
indemnify	1
indemnity	1
indicate	1
indicating	1
indignant	1
indignantly	13
indirect	1
indirectly	1
individual	4
information	8
infringement	1
injure	1
ink	1
inkstand	1
inquired	1
inquisitively	1
inside	2
insolence	1
instance	12
instantly	113
instead	111
insult	1
intellectual	2
interest	1
interesting	113
internal	1
international	1
interpreted	1
interrupt	1
interrupted	234
interrupting	11
into	1420258
introduce	11
introduced	1
invalidity	1
invent	1
invented	1
invitation	2
invited	2
involved	1
inwards	1
irons	1
irritated	1
irs	1
is	30303540
isn	124
it	13019520481
its	1217268
itself	347
iv	1
ix	1
jack	1
jar	2
jaw	1
jaws	11
jelly	1
jogged	1
join	9
joined	111
journey	1
joys	1
judge	22
judging	1
jug	1
jumped	1122
jumping	112
june	1
juror	1
jurors	4
jury	220
jurymen	4
just	1112209
justice	1
keep	1156
keeping	22
kept	1345
kettle	1
key	18
kick	12
kid	5
kill	1
killing	1
kills	1
kind	1223
kindly	2
king	1548
kings	1
kiss	1
kissed	1
kitchen	22
knave	45
knee	14
kneel	1
knelt	1
knew	3345
knife	111
knock	1
knocked	1
knocking	12
knot	11
know	13202431
knowing	2
knowledge	12
known	1
knows	11
knuckles	1
label	2
labelled	1
lacie	1
lad	1
ladder	1
lady	12
laid	11
lake	1
lamps	1
land	1
language	1
languid	1
lap	11
large	101355
larger	115
largest	1
lark	1
last	1010104
lasted	11
lastly	1
late	114
lately	1
later	12
latin	1
latitude	2
laugh	1
laughed	11
laughing	2
laughter	1
law	112
laws	8
lay	1111
lazily	1
lazy	1
leaders	1
leading	1
leaning	11
leant	1
leap	1
learn	1223
learned	1
learning	2
learnt	11
least	135
leave	1233
leaves	114
leaving	1
led	112
ledge	1
left	2345
lefthand	2
legal	2
legally	1
legged	11
legs	111
length	1
less	22
lessen	1
lesson	3
lessons	145
lest	1
let	11335
letter	13
letters	1
lewis	13
liability	3
liable	1
library	1
license	115
licensed	1
licking	1
lie	2
lieu	2
life	2344
lifted	1
like	2528293
liked	123
likely	113
likes	1
limbs	1
limitation	3
limited	5
line	11
lines	1
linked	11
links	3
lips	1
list	3
listen	1123
listened	1
listeners	1
listening	111
lit	1
literary	13
little	15233060
live	125
lived	12
livery	3
lives	13
living	11
lizard	15
ll	39558
lobster	7
lobsters	7
located	4
locations	2
lock	1
locked	1
locks	11
lodging	1
london	1
lonely	11
long	15468
longed	11
longer	12
longitude	2
look	11369
looked	131679
looking	10688
loose	11
lory	7
lose	1
losing	1
lost	12
lot	1
loud	1122
louder	1
loudly	111
love	12
loveliest	1
lovely	2
loving	1
low	1266
lower	1
lowing	1
luckily	2
lullaby	1
lying	134
m	212868
ma	3
mabel	4
machine	1
machines	1
mad	114
made	13467
magic	1
magpie	1
mail	1
main	1
maintaining	1
majesty	48
make	7779
makes	1236
making	134
mallets	1
man	14
manage	223
managed	22
managing	1
manner	11
manners	1
many	2345
maps	1
march	1277
marched	1
mark	12
marked	125
marmalade	1
mary	4
master	13
matter	1233
matters	11
maximum	1
may	11746
maybe	11
mayn	1
me	1013396
meal	1
mean	136
meaning	125
means	224
meant	113
meanwhile	1
measure	1
meat	1
medium	5
meekly	11
meet	12
meeting	1
melan	1
melancholy	123
memorandum	1
memory	1
men	1
mentioned	111
merchantibility	1
mercia	2
merely	11
merrily	1
messages	2
met	1111
method	1
methods	1
mice	4
michael	2
middle	1124
might	11278
mile	2
miles	12
milk	11
millennium	1
mind	155
minded	1
minding	1
mine	1225
mineral	1
minute	1047
minutes	1334
mischief	1
miserable	2
miss	22
missed	11
mission	4
mississippi	1
mistake	111
mixed	11
mock	353
moderate	1
modern	1
modification	1
modified	1
moment	14368
money	3
month	2
moon	1
moral	8
morals	1
morcar	2
more	10101317
morning	122
morsel	1
most	155
mostly	11
mournful	1
mournfully	1
mouse	1142
mouth	1225
mouths	4
move	111
moved	1112
moving	12
much	1415176
muchness	3
muddle	1
multiplication	1
murder	1
murdering	1
muscular	1
mushroom	17
music	12
must	192177
mustard	3
muttered	2
muttering	12
my	1317208
myself	124
mystery	2
name	1235
named	1
names	11
narrow	2
nasty	1
natural	112
natured	1
naturedly	1
nay	1
near	3345
nearer	113
nearly	1255
neat	1
neatly	2
necessarily	1
neck	124
need	1
needn	12
needs	1
negligence	1
neighbour	1
neighbouring	1
neither	11
nervous	122
nest	1
network	1
never	142077
nevertheless	1
new	1223
newby	1
newsletter	1
newspapers	1
next	10668
nibbled	2
nibbling	12
nice	15
nicely	11
night	23
nile	1
nine	122
no	18192637
nobody	1223
nodded	1
noise	12
noises	1
non	1
none	112
nonproprietary	1
nonsense	223
nor	12
normans	1
north	1
northumbria	2
nose	26
not	39414343
note	2
nothing	101068
notice	1133
noticed	134
noticing	1
notifies	1
notion	111
now	1415256
nowhere	11
number	1124
numerous	1
nurse	12
nursing	3
o	33
obliged	12
oblong	1
obsolete	1
obstacle	1
obtain	3
obtaining	2
occasional	1
occasionally	1
occur	1
occurred	11
october	1
odd	1
of	116125162228
off	11131930
offend	1
offended	1225
offer	11
offers	1
office	2
officer	1
officers	4
official	3
often	222
oh	22779
ointment	1
old	2577
older	2
oldest	1
on	45515454
once	111355
one	21212638
ones	1
oneself	1
onions	1
online	13
only	1314178
oop	34
ootiful	22
open	223
opened	1135
opening	12
opinion	1
opportunities	1
opportunity	1233
opposite	1
or	21232487
orange	1
order	12
ordered	13
ordering	11
org	112
organized	1
original	1
originator	1
ornamented	2
other	1013229
others	125
otherwise	13
ou	1
ought	2345
our	246
ours	1
ourselves	1
out	19202851
outdated	1
outside	25
over	14899
overcome	1
overhead	1
owed	1
owl	3
own	1234
owner	5
owns	2
oyster	1
pace	1
pack	23
page	2
pages	1
paid	6
paint	1
painting	2
pair	5
pairs	1
pale	112
pan	1
panted	1
panther	3
panting	2
paper	14
paperwork	1
paragraph	11
paragraphs	3
parchment	2
pardon	24
pardoned	1
paris	2
part	15
particular	1122
particularly	1
partner	1
partners	1
parts	1
party	1235
pass	1
passage	13
passed	14
passing	1
passion	12
passionate	1
past	12
pat	3
patience	1
patiently	11
patriotic	1
patted	1
pattering	3
pattern	1
pause	11
paused	1
paw	12
paws	22
pay	1
paying	2
payments	3
pebbles	2
peeped	12
peeping	1
peering	1
pegs	1
pence	1
pencil	2
pencils	1
pennyworth	2
people	2455
pepper	233
perfectly	13
perform	1
performances	1
performed	1
performing	3
perhaps	1349
periodic	1
permanent	1
permission	7
permitted	12
persisted	11
person	134
personal	2
persons	1
pet	1
pg	1
pglaf	8
phrase	4
physical	2
picked	111
picking	11
picture	1
pictured	1
pictures	4
pie	3
piece	123
pieces	3
pig	38
pigeon	12
pigs	1113
pinch	11
pinched	11
pine	1
pink	1
piteous	1
pitied	1
pity	12
place	135
placed	1
places	11
plain	2
plainly	1
plan	112
planning	1
plate	12
plates	11
play	224
played	1
players	4
playing	11
pleaded	12
pleasant	1
pleasanter	1
please	5566
pleased	124
pleases	1
pleasing	1
pleasure	11
plenty	11
pocket	124
pointed	1
pointing	1111
poison	3
poker	1
poky	1
politely	123
pool	29
poor	11466
pop	1
pope	1
porpoise	4
position	11
positively	1
possessed	1
possession	1
possibility	1
possible	1
possibly	12
posted	5
posting	1
pot	1
pounds	1
pour	1
poured	1
powdered	1
practically	1
practice	1
pray	12
precious	1
prepare	2
present	12
presented	1
presently	2
presents	11
preserve	1
pressed	12
pressing	1
pretend	1
pretending	1
pretexts	1
prettier	1
pretty	1
prevent	11
previous	1
principal	1
print	1
printed	12
prison	1
prisoner	2
prize	1
prizes	5
problem	1
proceed	11
processing	1
procession	5
processions	1
produce	1
produced	11
producing	1
production	1
professor	1
profit	1
profits	1
prohibition	1
project	384
prominently	2
promise	1
promised	1
promising	1
promoting	2
promotion	1
pronounced	1
proofread	1
proper	12
property	2
proposal	1
proprietary	1
prosecute	1
protect	2
protection	1
proud	11
prove	1
proved	11
proves	2
provide	7
provided	4
providing	4
provision	1
provisions	1
provoking	1
public	9
puffed	1
pulled	1
pulling	1
pun	1
punching	1
punished	1
punitive	1
puppy	7
purple	1
purpose	12
purring	11
push	1
puss	1
put	12478
putting	111
puzzle	1
puzzled	234
puzzling	22
quadrille	4
quarrel	1
quarrelled	1
quarrelling	2
queen	19506
queens	1
queer	1245
queerest	1
question	377
questions	13
quick	11
quicker	1
quickly	2
quiet	11
quietly	23
quite	1015228
quiver	1
rabbit	16287
rabbits	1
race	6
railway	2
raised	11
raising	1
ran	349
rapidly	11
rapped	1
rat	1
rate	1125
rather	3778
rats	1
rattle	1
rattling	11
raven	1
ravens	1
raving	2
raw	1
re	101758
reach	13
reaching	11
read	1112
readable	2
readily	1
reading	13
ready	125
real	111
reality	1
really	1255
rearing	1
reason	135
reasonable	2
reasons	1
receipt	2
receive	3
received	15
receiving	1
recognised	1
recovered	11
red	12
redistribute	1
redistributing	2
redistribution	2
reduced	1
reeds	1
reeling	1
references	2
refreshments	1
refund	10
refused	1
registered	2
regular	11
regulating	1
release	1
relief	11
relieved	1
remain	2
remained	12
remaining	11
remark	46
remarkable	2
remarked	136
remarking	111
remarks	3
remedies	11
remember	3335
remembered	23
remembering	1
reminding	1
remove	1
removed	22
renamed	1
repeat	1114
repeated	244
repeating	12
replace	1
replacement	5
replied	111323
reply	1112
reported	1
reports	1
representations	1
request	1
require	1
required	1
requirements	4
research	2
resource	1
respect	1
respectable	1
respectful	1
rest	1234
resting	11
restrictions	11
result	1
retire	1
return	3
returned	2
returning	1
returns	1
revenue	1
rich	1
riddle	1
riddles	2
ridge	1
ridges	1
ridiculous	1
right	14778
righthand	1
rightly	1
ring	2
ringlets	2
riper	1
rippling	1
rise	1
rises	1
rising	1
roared	1
roast	1
rock	1
rocket	1
rome	2
roof	114
room	157
roots	11
rope	1
rose	13
roses	3
rosetree	1
roughly	1
round	1011155
row	2
royal	2
royalties	2
royalty	3
rubbed	1
rubbing	11
rude	11
rudeness	1
rule	23
rules	122
rumbling	1
run	112
running	1133
rush	2
rushed	1
rustled	1
rustling	1
s	44465970
sad	12
sadly	122
safe	11
sage	1
said	1501536891
salmon	1
salt	12
same	12256
sand	1
sands	1
sang	11
sat	2366
saucepan	1
saucepans	1
saucer	1
savage	112
save	1
saves	1
saw	1346
say	1516182
saying	258
says	13
scale	1
scaly	1
scattered	1
school	6
schoolroom	1
scolded	1
scrambling	1
scratching	1
scream	11
screamed	13
screaming	1
scroll	2
sea	1112
seals	1
seaography	1
search	11
seaside	1
seated	1
second	123
secondly	11
secret	1
section	7
sections	1
secure	1
see	11162122
seeing	1
seem	224
seemed	12339
seems	113
seen	1356
seldom	1
sell	11
send	11
sending	12
sends	1
sensation	11
sense	111
sent	3
sentence	134
sentenced	1
series	1
seriously	1
serpent	9
serpents	3
service	1
set	11255
setting	1
settle	1
settled	111
settling	1
seven	15
several	113
severely	112
severity	1
sh	2
shade	1
shake	1
shakespeare	1
shaking	12
shall	13446
shan	123
shape	1
shaped	12
share	11
shared	2
sharing	11
shark	1
sharks	1
sharp	123
sharply	112
she	11712124669
shedding	1
sheep	1
shelves	2
shepherd	1
shifting	1
shilling	1
shillings	1
shingle	1
shining	1
shiny	1
shiver	1
shock	1
shoes	124
shook	225
shore	22
short	112
shorter	2
should	11567
shoulder	13
shoulders	112
shouldn	113
shouted	117
shouting	2
show	12
shower	11
showing	11
shriek	1112
shrieked	1
shrieks	1
shrill	113
shrimp	1
shrink	1
shrinking	13
shut	113
shutting	2
shy	1
shyly	1
side	2456
sides	13
sigh	13
sighed	122
sighing	12
sight	2233
sign	1
signed	2
signifies	1
signify	1
silence	1346
silent	34
simple	113
simpleton	1
simply	12
since	13
sing	15
singers	2
singing	2
sink	1
sir	124
sister	27
sisters	2
sit	1223
site	4
sits	1
sitting	1117
six	11
sixpence	1
sixteenth	1
size	157
sizes	1
skimming	1
skirt	1
skurried	1
sky	14
slate	13
slates	8
sleep	15
sleepy	122
slightest	1
slipped	12
slippery	1
slowly	233
sluggard	1
small	1128
smaller	3
smallest	11
smile	11
smiled	2
smiling	11
smoke	1
smoking	2
snail	3
snappishly	1
snatch	2
sneeze	11
sneezed	1
sneezes	2
sneezing	24
snorting	1
snout	1
so	15434450
sob	1
sobbed	1
sobbing	12
sobs	22
soft	1
softly	1
soldier	1
soldiers	10
solemn	12
solemnly	22
soles	1
solicit	2
solicitation	1
solid	1
some	1013227
somebody	223
somehow	1
someone	1
somersault	11
something	468
sometimes	122
somewhere	12
son	1
song	124
soo	34
soon	11833
sooner	2
soothing	1
sorrow	2
sorrowful	2
sorrows	1
sorry	1
sort	10235
sorts	12
sound	22
sounded	113
sounds	22
soup	1044
sour	1
spades	1
speak	555
speaker	1
speaking	122
special	1
specific	1
specified	2
spectacles	3
speech	12
speed	1
spell	1
spirited	1
spite	1
splash	1
splashed	1
splashing	11
splendidly	1
spoke	2357
spoken	1
spoon	11
spot	1
sprawling	1
spread	13
spreading	1
squeaked	1
squeaking	11
squeeze	1
squeezed	1
staff	1
stairs	12
stalk	1
stamping	2
stand	222
standing	1
star	1
staring	12
start	12
started	2
startled	11
state	16
statements	1
states	14
station	1
status	4
stay	14
stays	1
steady	1
steam	1
sternly	1
stick	4
sticks	1
stiff	1
stigand	1
still	2245
stingy	1
stirring	2
stockings	1
stole	2
stolen	1
stood	115
stool	1
stoop	11
stop	123
stopped	111
stopping	1
stored	1
story	224
straight	11
straightened	1
straightening	1
strange	113
strength	1
stretched	2
stretching	11
strict	1
strings	1
struck	11
